Timestamp,MAXnetOUT,AvgUserCpu,AvgSystemCpu,MAXnetIN,AVGnetOut,AVGnetIN,CpuCoresMax,CpuCalc
2021-03-22T00:23:00.000Z,7932377,0.6798333333333333,0.26933333333333337,2052202,5659398.166666667,468365.1666666667,8,0.11864583333333334
2021-03-22T00:24:00.000Z,6246717,0.7333333333333334,0.2816666666666667,920589,4776944.833333333,453673.8333333333,8,0.12687500000000002
2021-03-22T00:25:00.000Z,8009136,0.7155,0.2981666666666667,1492898,5543357.5,342062.6666666667,8,0.12670833333333334
2021-03-22T00:26:00.000Z,7882004,0.6868333333333334,0.2788333333333333,3898459,4757956,953882.6666666666,8,0.12070833333333333
2021-03-22T00:27:00.000Z,25574439,0.8943333333333333,0.32916666666666666,13170339,12349275,4704167.833333333,8,0.1529375
2021-03-22T00:28:00.000Z,6914300,0.6545,0.2801666666666667,164894,4787726.833333333,117432.5,8,0.11683333333333333
2021-03-22T00:29:00.000Z,11988056,0.7145,0.2755,5791074,6678678,1952256.6666666667,8,0.12375
2021-03-22T00:30:00.000Z,9843710,0.8143333333333334,0.43566666666666665,4160003,5338772.666666667,1011674.1666666666,8,0.15625
2021-03-22T00:31:00.000Z,8600012,0.7578333333333335,0.3451666666666667,1853217,6852993.5,843191.6666666666,8,0.13787500000000003
2021-03-22T00:32:00.000Z,30287080,0.9498333333333333,0.3315,19696887,14856361.666666666,7573506.833333333,8,0.16016666666666668
2021-03-22T00:33:00.000Z,21797608,1.2386666666666668,0.9598333333333334,11037909,19715556.166666668,8539515.5,8,0.2748125
2021-03-22T00:34:00.000Z,19994151,1.2193333333333334,0.9816666666666666,8321855,18259213.666666668,7214364,8,0.275125
2021-03-22T00:35:00.000Z,17199242,0.9870000000000001,0.6826666666666666,7194136,10166264.833333334,3064946.5,8,0.20870833333333333
2021-03-22T00:36:00.000Z,10742952,0.7425,0.317,4262061,6354169,1315835.5,8,0.1324375
2021-03-22T00:37:00.000Z,7711129,0.7281666666666666,0.28933333333333333,2311534,6196082.166666667,1035144,8,0.1271875
2021-03-22T00:38:00.000Z,11797987,0.7556666666666666,0.31016666666666665,3773429,6640451.166666667,745728.1666666666,8,0.13322916666666665
2021-03-22T00:39:00.000Z,8042687,0.7393333333333333,0.3176666666666667,1919607,6679945.666666667,711487.8333333334,8,0.132125
2021-03-22T00:40:00.000Z,9838268,0.7041666666666666,0.2826666666666667,5708867,4899585.833333333,1156550.8333333333,8,0.12335416666666665
2021-03-22T00:41:00.000Z,8755554,0.7196666666666668,0.29750000000000004,3749246,5664057.666666667,1011739,8,0.12714583333333335
2021-03-22T00:42:00.000Z,5418585,0.6853333333333333,0.2848333333333333,1265179,3951119.5,342270.5,8,0.12127083333333333
2021-03-22T00:43:00.000Z,7314030,0.6773333333333333,0.2768333333333333,2241902,4493812.666666667,449567.6666666667,8,0.11927083333333333
2021-03-22T00:44:00.000Z,9264220,0.7251666666666666,0.29083333333333333,1857591,7118610,804437.6666666666,8,0.127
2021-03-22T00:45:00.000Z,6142846,0.6993333333333333,0.2945,1763269,4138341.3333333335,352180.5,8,0.12422916666666665
2021-03-22T00:46:00.000Z,10545890,0.7168333333333333,0.2813333333333333,5560135,4888001.833333333,1169509.5,8,0.12477083333333333
2021-03-22T00:47:00.000Z,11304997,0.7325,0.2861666666666667,5189980,6608974.5,1434373,8,0.12733333333333335
2021-03-22T00:48:00.000Z,9353089,0.6953333333333332,0.2801666666666667,2790541,6306374.333333333,726951.6666666666,8,0.12193749999999999
2021-03-22T00:49:00.000Z,10928466,0.7165,0.27699999999999997,5711307,6764123.833333333,1853165.1666666667,8,0.1241875
2021-03-22T00:50:00.000Z,7332035,0.6805,0.28583333333333333,1803675,5310349.166666667,533519,8,0.12079166666666666
2021-03-22T00:51:00.000Z,4426637,0.6076666666666667,0.25633333333333336,441460,3553918.5,139782.66666666666,8,0.10800000000000001
2021-03-22T00:52:00.000Z,4905954,0.6478333333333334,0.255,947576,3606832.6666666665,322163,8,0.11285416666666667
2021-03-22T00:53:00.000Z,8632870,0.6366666666666666,0.25566666666666665,3944061,5108679.333333333,717413,8,0.11154166666666665
2021-03-22T00:54:00.000Z,12807576,0.7065,0.2738333333333333,5285269,8143028.166666667,1868959.1666666667,8,0.12254166666666666
2021-03-22T00:55:00.000Z,14992445,0.7116666666666668,0.2755,9425676,8159542.5,3167192.8333333335,8,0.12339583333333334
2021-03-22T00:56:00.000Z,6370450,0.6466666666666666,0.271,630174,5137892.333333333,266053,8,0.11470833333333333
2021-03-22T00:57:00.000Z,12995006,0.6906666666666667,0.27666666666666667,5862760,6074751,1626408.5,8,0.12091666666666667
2021-03-22T00:58:00.000Z,10641652,0.6248333333333334,0.264,5922337,5694357.166666667,1112296.3333333333,8,0.11110416666666667
