Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T13:48:00.000Z,7805101,2242811,5828547.833333333,766817.5
2021-03-21T13:49:00.000Z,4736865,900952,3914465.1666666665,260037.5
2021-03-21T13:50:00.000Z,15456537,11329725,6139561,2286521.1666666665
2021-03-21T13:51:00.000Z,14955630,8916465,7466024.833333333,2213080.5
2021-03-21T13:52:00.000Z,13751949,9280456,7016530.166666667,2544472.8333333335
2021-03-21T13:53:00.000Z,9734638,3999129,6633255.833333333,1073600.8333333333
2021-03-21T13:54:00.000Z,12388989,3401801,7536419.666666667,981025.3333333334
2021-03-21T13:55:00.000Z,7368558,2000621,5111985.833333333,465097.5
2021-03-21T13:56:00.000Z,10000654,4461675,7379164.833333333,1807900.8333333333
2021-03-21T13:57:00.000Z,7180452,1753193,4465779.166666667,577869.3333333334
2021-03-21T13:58:00.000Z,9455152,3965680,4871215.333333333,951540.6666666666
2021-03-21T13:59:00.000Z,10551847,3653860,7540986.833333333,1712310
2021-03-21T14:00:00.000Z,6583776,1185452,5911299.166666667,449363.8333333333
2021-03-21T14:01:00.000Z,8189106,2150154,6483553,1066104.8333333333
2021-03-21T14:02:00.000Z,11592504,3992153,7635886.166666667,1635369.1666666667
2021-03-21T14:03:00.000Z,121574808,110674049,44474379.5,36868821.333333336
2021-03-21T14:04:00.000Z,107058983,94845992,32259542.333333332,22368244.5
2021-03-21T14:05:00.000Z,15021498,9715940,9613692.166666666,4022745.5
2021-03-21T14:06:00.000Z,25238027,21294863,13203753.333333334,7028619
2021-03-21T14:07:00.000Z,34645357,24981668,13282292.5,6395963.5
2021-03-21T14:08:00.000Z,13276498,5348362,7740851,1974738.5
2021-03-21T14:09:00.000Z,11614592,3185248,7130180.333333333,1208026.1666666667
2021-03-21T14:10:00.000Z,14308840,6988897,8139462.666666667,2060502
2021-03-21T14:11:00.000Z,8396091,4027441,5448965.833333333,1167654
2021-03-21T14:12:00.000Z,8649411,1880964,5763601.333333333,703731.5
2021-03-21T14:13:00.000Z,11120283,4542859,5916043,884525.8333333334
2021-03-21T14:14:00.000Z,15639191,7426039,8174690.166666667,2335953
2021-03-21T14:15:00.000Z,9646070,4327533,7651991.166666667,2693585.3333333335
2021-03-21T14:16:00.000Z,9012086,4098077,7273960.666666667,2626054.6666666665
2021-03-21T14:17:00.000Z,13241852,6597080,7933385.166666667,3153104
2021-03-21T14:18:00.000Z,25483961,18122891,11711643,5697933.666666667
2021-03-21T14:19:00.000Z,15519627,9980089,10862425,4644350.333333333
2021-03-21T14:20:00.000Z,13988297,6543205,8963208,3108685.5
2021-03-21T14:21:00.000Z,10699527,4505832,8085587.5,2901084.6666666665
2021-03-21T14:22:00.000Z,7797715,1824059,6188913.666666667,856820.3333333334
2021-03-21T14:23:00.000Z,9432055,4019631,5248223.333333333,1317723.5
2021-03-21T14:24:00.000Z,15360821,10322619,8545523,3715357.8333333335
2021-03-21T14:25:00.000Z,9184479,3706311,7059195.5,2077003.8333333333
2021-03-21T14:26:00.000Z,9169079,2480674,7200712,875092.8333333334
2021-03-21T14:27:00.000Z,10162427,5845943,5659925.5,1518888.1666666667
2021-03-21T14:28:00.000Z,13212352,5340174,7032335.5,1188798.6666666667
2021-03-21T14:29:00.000Z,33082589,17049748,15117577.5,5798037.666666667
2021-03-21T14:30:00.000Z,9800505,4401780,6749359.166666667,1534602.3333333333
2021-03-21T14:31:00.000Z,24582505,28424618,8080303.5,5296561.166666667
2021-03-21T14:32:00.000Z,10997432,4679039,7653835.666666667,2807769.1666666665
2021-03-21T14:33:00.000Z,18158055,8187084,13562936.833333334,4785423.666666667
2021-03-21T14:34:00.000Z,7195455,2920564,5230356,876319.5
2021-03-21T14:35:00.000Z,12681104,6001140,8184662.666666667,2722794.3333333335
2021-03-21T14:36:00.000Z,7812281,2091789,6178736,815947.8333333334
2021-03-21T14:37:00.000Z,9801202,3733380,7011117.166666667,1669583.5
2021-03-21T14:38:00.000Z,7270291,2353454,5373992.333333333,833659.8333333334
2021-03-21T14:39:00.000Z,37880319,47387295,11634048,9245687.166666666
2021-03-21T14:40:00.000Z,8099255,3017725,5158546.666666667,1066928.3333333333
2021-03-21T14:41:00.000Z,38722889,47076426,12544426,9505194.5
2021-03-21T14:42:00.000Z,11177385,3986159,5565495.333333333,974717.5
2021-03-21T14:43:00.000Z,10627966,3846268,7024188,1459957.8333333333
2021-03-21T14:44:00.000Z,11404356,5575191,7023657,1748099.1666666667
2021-03-21T14:45:00.000Z,7223017,686046,6231585.5,312148.5
2021-03-21T14:46:00.000Z,6545205,237250,4352944.5,161469.66666666666
2021-03-21T14:47:00.000Z,4979062,1495640,4178241.8333333335,346296.3333333333
2021-03-21T14:48:00.000Z,6230439,1516221,5415555.833333333,557651.8333333334
2021-03-21T14:49:00.000Z,37896305,26837742,13133917.5,6844801
2021-03-21T14:50:00.000Z,6393532,1633279,5365406.666666667,828352.1666666666
2021-03-21T14:51:00.000Z,9946587,3965626,7544599,1995593.8333333333
2021-03-21T14:52:00.000Z,7930476,3033427,5487006.833333333,1266573.6666666667
2021-03-21T14:53:00.000Z,11245345,6795765,6057831.666666667,2028867.8333333333
2021-03-21T14:54:00.000Z,10661263,5612098,7364739,3138582.5
2021-03-21T14:55:00.000Z,13810293,8365486,10186846.166666666,5008795.333333333
2021-03-21T14:56:00.000Z,40009684,47760285,14297908.833333334,10526845.5
2021-03-21T14:57:00.000Z,16774235,10087432,10340949.666666666,4461267.333333333
2021-03-21T14:58:00.000Z,9081062,4018242,7179225.333333333,1935832.8333333333
2021-03-21T14:59:00.000Z,18975885,15574851,10192652.833333334,4385950.333333333
2021-03-21T15:00:00.000Z,8410566,4104121,5959342,1667818.1666666667
2021-03-21T15:01:00.000Z,12196322,5797088,8286210,2660315.8333333335
2021-03-21T15:02:00.000Z,6122279,2114861,4875959.333333333,1022974.1666666666
2021-03-21T15:03:00.000Z,7410841,1941843,5120011.5,434210.1666666667
