Timestamp,Host__Network__In__Bytes
"2021-04-12T19:49:04.859Z",4129432
"2021-04-12T19:48:54.859Z",91328
"2021-04-12T19:48:44.860Z",132372
"2021-04-12T19:48:34.859Z",121050
"2021-04-12T19:48:24.859Z",4448577
"2021-04-12T19:48:14.866Z",2372700
"2021-04-12T19:48:04.859Z",20878821
"2021-04-12T19:47:54.862Z",18940251
"2021-04-12T19:47:44.859Z",3538879
"2021-04-12T19:47:34.860Z",13856712
"2021-04-12T19:47:24.860Z",33996556
"2021-04-12T19:47:14.860Z",4351093
"2021-04-12T19:47:04.859Z",2115740
"2021-04-12T19:46:54.859Z",1835925
"2021-04-12T19:46:44.859Z",77432
"2021-04-12T19:46:34.859Z",6482131
"2021-04-12T19:46:24.859Z",782100
"2021-04-12T19:46:14.859Z",2479650
"2021-04-12T19:46:04.859Z",120571
"2021-04-12T19:45:54.859Z",3132118
"2021-04-12T19:45:44.859Z",5842886
"2021-04-12T19:45:34.859Z",4226183
"2021-04-12T19:45:24.859Z",7354382
"2021-04-12T19:45:14.859Z",2086657
"2021-04-12T19:45:04.859Z",10638016
"2021-04-12T19:44:54.859Z",1145720
"2021-04-12T19:44:44.859Z",134150
"2021-04-12T19:44:34.859Z",110578
"2021-04-12T19:44:24.859Z",81434
"2021-04-12T19:44:14.859Z",6482993
"2021-04-12T19:44:04.859Z",136270
"2021-04-12T19:43:54.860Z",92377
"2021-04-12T19:43:44.859Z",148008
"2021-04-12T19:43:34.859Z",69222
"2021-04-12T19:43:24.859Z",439281
"2021-04-12T19:43:14.859Z",335174
"2021-04-12T19:43:04.861Z",2178958
"2021-04-12T19:42:54.859Z",1385038
"2021-04-12T19:42:44.861Z",7045686
"2021-04-12T19:42:34.860Z",21296250
"2021-04-12T19:42:24.860Z",93354626
"2021-04-12T19:42:14.859Z",12190474
"2021-04-12T19:42:04.859Z",4955642
"2021-04-12T19:41:54.859Z",5364264
"2021-04-12T19:41:44.859Z",4229655
"2021-04-12T19:41:34.859Z",7214962
"2021-04-12T19:41:24.859Z",10214068
"2021-04-12T19:41:14.859Z",1555869
"2021-04-12T19:41:04.859Z",1401106
"2021-04-12T19:40:54.859Z",2736416
"2021-04-12T19:40:44.859Z",95690238
"2021-04-12T19:40:34.859Z",46778482
"2021-04-12T19:40:24.859Z",47913780
"2021-04-12T19:40:14.859Z",3205683
"2021-04-12T19:40:04.864Z",9526683
"2021-04-12T19:39:54.859Z",1785019
"2021-04-12T19:39:44.860Z",88321
"2021-04-12T19:39:34.860Z",2096951
"2021-04-12T19:39:24.859Z",10507203
"2021-04-12T19:39:14.859Z",7077332
"2021-04-12T19:39:04.860Z",6988472
"2021-04-12T19:38:54.860Z",7993328
"2021-04-12T19:38:44.859Z",7072799
"2021-04-12T19:38:34.860Z",6983310
"2021-04-12T19:38:24.859Z",7156498
"2021-04-12T19:38:14.859Z",24234539
"2021-04-12T19:38:04.859Z",22466998
"2021-04-12T19:37:54.860Z",7742269
"2021-04-12T19:37:44.860Z",6658528
"2021-04-12T19:37:34.860Z",7336118
"2021-04-12T19:37:24.860Z",8667946
"2021-04-12T19:37:14.861Z",38898076
"2021-04-12T19:37:04.859Z",11860542
"2021-04-12T19:36:54.859Z",5084189
"2021-04-12T19:36:44.859Z",1474274
"2021-04-12T19:36:34.859Z",544209
"2021-04-12T19:36:24.861Z",2107674
"2021-04-12T19:36:14.859Z",1141471
